How does the router map packets in the IP network?	By mapping it with a forwarding table, using the prefixes in the destination address in the header.
How often is a forwarding table updated in a datagram network, and what consequences does it have?	Every one-to-five minutes, and since this can happen at any time, a series of packets may arrive out of order because the paths were switched mid-transer.
What is duplicate ACK:s used for in TCP?	Arrival of out-of-order segment with higher-than-expected sequence number. In other words it detects a gap/packet loss. Recevier sends double ACK with sequence number of next expected byte (start of gap). If three duplicate ACK:s are received the sender does a fast retransmit.
What is flow-control service (TCP)?	Eliminates the possibility to overflow the receiver's buffer. It matches the rate of which the sender is sending against the rate at which the receiving application is reading.
What is a recieve window (TCP)? How do you calculate it?	Informs the sender of how much free buffer space is available at the reciever.<div><br /></div><div>The following variables exists:</div><div>- LastByteRead - number of last byte in the datastream read from the buffer by the application process.</div><div>- LastByteRcvd - number of last byte in the data stream from the network that has been placed in the receive buffer.</div><div><br /></div><div>Calculation:</div><div>RecieveWindow = RcvBuffer - (LastByteRcvd - LastByteRead)</div><div><br /></div><div>Receive window exists in each segment sent. The sender makes sure LastByteSent - LastByteAcked &lt;= Recieve window.</div><div>Once the receive window is full the sender keeps sending segments with one byte of data until space is available again.</div>
How does TCP establish a connection?	1. Sends a specific TCP segment called a SYN segment. No data except for SYN bit is set to 1. It also randomly generates an initial sequence number that is stored in client_isn. It is encapsulated in an IP datagram and then sent.<div>2. Receiver allocates buffers/variables and sensds a SYNACK segment back (SYN = 1, ACK-field = client_isn + 1, Seq.number = server_isn).</div><div>3. On arrival client allocates buffer/variables and sends one last TCP segment (SYN = 0, ACK-field = server_isn + 1).</div>
How does TCP close a connection?	1. Client sends a TCP segment (FIN = 1) and enters a FIN_WAIT_1 state.&nbsp;<div>2. Client receives an ACK from the receiver and enters FIN_WAIT_2 state.</div><div>3. Client receives a TCP segment from the receiver (FIN = 1) and enters TIME_WAIT state.</div><div>4. After approximately 30 seconds the client closes the connection and releases resources.</div>
What are the causes and cost of congestion?	- Large queueing delays are experienced when packet arrival rate nears the link capacity.<div>- Retransmissions in order to compensate for dropped(lost) packets due to buffer overflow.</div><div>- Unneeded retransmissions in the face of large delays that may cause a router to use its link's bandwith to forwards copies of a packet.</div><div>- When a packet is dropped along a path, the transmassion capacity used at each upstream link is wasted.</div>
What are some approaches to congestion control?	- End-to-end congestion control (!!! there exists a question in this deck that will get into more detail)<div>- Network-assisted congestion control&nbsp;(!!! there exists question in this deck that will get into more detail)</div>
What is End-to-end congestion control?	Network layer provides no explicit support to the Transport layer. Presence of congestion in the network is inferred by the end system, for example for packet loss and delays.
What is network-assisted congestion control?	Network-layers components (routers) provide explicit feedback to the sender regarding the congestion state in the network. Could be as simple as a bit indiciating congestion or the router marking the packet.
What is ATM ABR congestion control? Explain specifically what ATM and ABR does. Also explain RM cells.	Network-assisted approach.&nbsp;<div><br /></div><div>- ATM</div><div>Takes a virtual-circuit oriented approach towards packet switching. Allows a switch to track behavior of individual sendesr and take source-specific congestion control (reduce rate etc.).</div><div><br /></div><div>- ABR</div><div>Is an elastic data transfer service. Takes advantage of spare available bandwith when the network is underloaded. It throttles rate to some predetermined minimum rate when network is congested.</div><div><br /></div><div>- RM cells</div><div>Resource-management cells. Provides direct network feedback and feedback via the receiver. A switch can also generate these.</div><div>EFCI bit (explicit forward congestion indication), CI bit (congestion indication), NI bit (no increase), ER-field (min supportable rate of all switches).</div>
How does TCP congestion control work?	TCP uses end-to-end congestion control since IP layer doesnt provide explicit feedback to the end systems regarding congestion. Each sender limits its rate of sent traffic into its connection dependent of the perception of network congestion.
How does a TCP sender limit their rate?	It keepts track of additional variable, congestion window (cwnd), which imposes a constraint on the rate.<div>LastByteSent - LastByteAcked &lt;= min (cwnd, rwnd). Send rate is roughly cwnd/RTT.</div>
How does TCP percieve there is a congestion?	Either a timeout or the receipt of three duplicate ACK:s is an indication of congestion.&nbsp;
How does a TCP sender determine the rate at which it should send?	- A lost segment indicates that the network have congestion, thus the the rate should be decreased.<div>- An ACK segment indicates everything is fine thus the rate can be increased.</div><div>- Bandwith probing - Increases its rate on arriving ACK:s until a loss event occurs at which the rate is decreased. Probing repeats.</div>
Explain TCP slow start	On initial connection TCP starts with a value on cwnd being 1 MSS. It increases with 1 MSS for each ACK (rate is doubling and therefore increasing exponentially).<div>On timeout it sets a state variable, sstresh, to cwnd /2 (half the value of prev. congestion) and sets MSS to 1 and repeats the process.</div><div><br /></div><div>Once cwnd = sstresh it transitions into Congestion avoidance mode.</div>
Explain TCP Congestion avoidance	Since the value of cwnd is close to congetion it carefully increases by 1 MSS each RTT.<div>(NEED MORE INFO HERE!)</div>
How do you calculate average TCP throughput?	(0.75 * W)/RTT where W = value of window size when loss event occured.
Explain TCP Fast recovery	(NEED MORE!)
What are some important differences between wired and wireless link?	- Wireless has decreasing signal strength<div>- Wireles can have interference from other sources</div><div>- Wireless have Multipath propagation</div>
What is SNR?	"Signal-to-noise ratio (measured in dB). Relative measure of the strength of the receieved signal. Bigger SNR makes it easier to extract signal. ""The higher SNR the lower BER (bit error rate)""."
What is hidden terminal problem?	A and B are both transmitting to C. But because of physical obstruction it prevents A and B from hearing eachother even though their transmissions are interferred at C.
What is fading?	A and B are both transmitting to C. Their signals are not strong enough to notice eachother but they are still interferring at C.
What is CDMA? How does it work?	<div>Code divisin multiple access. It's a channel partioning protocol.</div>(NEED TO ADD MORE!)
